Palette: 19
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
batsPerActiveSwarmRoom: 5
blackSalamanderChance: 0.02
overseersSpawnChance: 0.6
overseersMin: 0
overseersMax: 4
earlyCycleChance: 0.05
earlyCycleFloodChance: 0.0
pupSpawnChance: 0.25
Room_Attr: TM_D11C: Hoverfly-Forbidden,
Room_Attr: TM_D12: Scavenger-Avoid,Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D13: Hoverfly-Forbidden,
Room_Attr: TM_D17: Centipede-Avoid,RedCentipede-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_D02: Scavenger-Avoid,Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D10: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D03: Vulture-Like,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D07: WhiteLizard-Avoid,YellowLizard-Like,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,RedCentipede-Forbidden,MirosVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D08: YellowLizard-Avoid,KingVulture-Avoid,RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_S05: RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D14: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_D18: YellowLizard-Avoid,Vulture-Like,RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D04: Vulture-Like,RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D01: KingVulture-Forbidden,RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D06: YellowLizard-Like,Vulture-Like,RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D05: RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_D15: WhiteLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,Scavenger-Avoid,Centiwing-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_D16: WhiteLizard-Avoid,YellowLizard-Avoid,Scavenger-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_D09: RedCentipede-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_E01: YellowLizard-Avoid,Scavenger-Forbidden,KingVulture-Forbidden,RedCentipede-Forbidden,Deer-Stay,Hoverfly-Forbidden,
Room_Attr: TM_D19: Hoverfly-Forbidden,
Room_Attr: TM_E03: YellowLizard-Avoid,KingVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_E02: Vulture-Avoid,KingVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_E04: KingVulture-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_E09: Hoverfly-Forbidden,
Room_Attr: TM_E05: CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_E08: CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_S06: Hoverfly-Forbidden,
Room_Attr: TM_E06: WhiteLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,Centiwing-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_E19: WhiteLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,Centiwing-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_E13: WhiteLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,Centiwing-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_E14: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_S08: Scavenger-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_E16: WhiteLizard-Avoid,CyanLizard-Avoid,Scavenger-Avoid,Centiwing-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_E17: WhiteLizard-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_F01: WhiteLizard-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_F03: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Avoid,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Avoid,CicadaB-Avoid,Snail-Forbidden,PoleMimic-Forbidden,TentaclePlant-Forbidden,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_F05: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,PoleMimic-Forbidden,TentaclePlant-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,Hoverfly-Forbidden,AquaCenti-Forbidden,
Room_Attr: TM_F02: Scavenger-Stay,Hoverfly-Forbidden,
Room_Attr: TM_F04: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Avoid,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Avoid,CicadaB-Avoid,Snail-Forbidden,PoleMimic-Forbidden,TentaclePlant-Forbidden,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_F08: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,
Room_Attr: TM_F10: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Avoid,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Avoid,CicadaB-Avoid,Snail-Forbidden,PoleMimic-Forbidden,TentaclePlant-Forbidden,Scavenger-Like,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,Leech-Forbidden,SeaLeech-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,Hoverfly-Forbidden,
Room_Attr: TM_E12: WhiteLizard-Avoid,KingVulture-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_F06: WhiteLizard-Avoid,KingVulture-Avoid,Overseer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_F07: WhiteLizard-Avoid,KingVulture-Avoid,Overseer-Avoid,
Room_Attr: TM_F09: Hoverfly-Forbidden,
Room_Attr: TM_F11: CicadaA-Avoid,CicadaB-Avoid,KingVulture-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_S07: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,PoleMimic-Avoid,TentaclePlant-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Avoid,BrotherLongLegs-Avoid,DaddyLongLegs-Avoid,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,JetFish-Avoid,Leech-Avoid,SeaLeech-Avoid,TubeWorm-Avoid,BigEel-Avoid,Deer-Avoid,Overseer-Avoid,Hazer-Avoid,Hoverfly-Forbidden,
Room_Attr: TM_E07: Hoverfly-Forbidden,
Room_Attr: TM_SPEAREND: Vulture-Forbidden,KingVulture-Forbidden,Hoverfly-Avoid,
