
Palette: 19
batDepleteCyclesMin: 2
batDepleteCyclesMax: 7
batDepleteCyclesMaxIfLessThanTwoLeft: 3
batDepleteCyclesMaxIfLessThanFiveLeft: 4
batsPerActiveSwarmRoom: 5
blackSalamanderChance: 0.02
overseersSpawnChance: 0
overseersMin: 0
overseersMax: 0
playerGuideOverseerSpawnChance: 0.04
Room Setting Templates: Inside, Outside, ground-ext, ground-int, ground-metal
Subregion: Ashen Monolith
Room_Attr: XM_F06: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,Eel-Forbidden,ZoopLizard-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_F07: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,Eel-Forbidden,ZoopLizard-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_X01: GreenLizard-Forbidden,PinkLizard-Forbidden,BlueLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,YellowLizard-Forbidden,CyanLizard-Forbidden,RedLizard-Forbidden,Salamander-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Snail-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Forbidden,Centipede-Forbidden,RedCentipede-Forbidden,Centiwing-Forbidden,LanternMouse-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosBird-Forbidden,BrotherLongLegs-Forbidden,DaddyLongLegs-Forbidden,EggBug-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,JetFish-Forbidden,TubeWorm-Forbidden,BigEel-Forbidden,Deer-Forbidden,Overseer-Forbidden,Hazer-Forbidden,MirosVulture-Forbidden,SpitLizard-Forbidden,Eel-Forbidden,ZoopLizard-Forbidden,TrainLizard-Forbidden,AquaCenti-Forbidden,HunterDaddy-Forbidden,TerrorLongLegs-Forbidden,MotherSpider-Forbidden,ScavengerElite-Forbidden,ScavengerKing-Forbidden,JungleLeech-Forbidden,FireBug-Forbidden,Hoverfly-Like,Yeek-Forbidden,
Room_Attr: XM_X02: Vulture-Forbidden,KingVulture-Forbidden,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosVulture-Forbidden,Hoverfly-Like,
Room_Attr: XM_X03: Vulture-Avoid,KingVulture-Avoid,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: XM_X04: Vulture-Avoid,KingVulture-Avoid,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosVulture-Avoid,Hoverfly-Like,
Room_Attr: XM_X05: Vulture-Avoid,KingVulture-Avoid,Spider-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,MirosVulture-Forbidden,
Room_Attr: XM_Y02: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Stay,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,Eel-Avoid,ZoopLizard-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,Hoverfly-Forbidden,
Room_Attr: XM_Y03: YellowLizard-Like,MirosVulture-Avoid,Hoverfly-Forbidden,
Room_Attr: XM_Y04: MirosVulture-Avoid,Hoverfly-Forbidden,
Room_Attr: XM_Y05: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Stay,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,Eel-Avoid,ZoopLizard-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,Hoverfly-Forbidden,
Room_Attr: XM_Y06: WhiteLizard-Avoid,YellowLizard-Forbidden,MirosBird-Stay,MirosVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_Y07: YellowLizard-Forbidden,MirosBird-Stay,MirosVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_Y09: Vulture-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_Y10: Vulture-Forbidden,KingVulture-Forbidden,MirosVulture-Forbidden,Hoverfly-Forbidden,
Room_Attr: XM_Y12: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Stay,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,Eel-Avoid,ZoopLizard-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,Hoverfly-Forbidden,
Room_Attr: XM_Y14: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,Scavenger-Avoid,Vulture-Avoid,KingVulture-Avoid,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Stay,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,Eel-Avoid,ZoopLizard-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,Hoverfly-Forbidden,
Room_Attr: XM_Y13: GreenLizard-Avoid,PinkLizard-Avoid,BlueLizard-Avoid,WhiteLizard-Avoid,BlackLizard-Avoid,YellowLizard-Avoid,CyanLizard-Avoid,RedLizard-Avoid,Salamander-Avoid,CicadaA-Avoid,CicadaB-Avoid,Snail-Avoid,Scavenger-Avoid,Vulture-Forbidden,KingVulture-Forbidden,SmallCentipede-Avoid,Centipede-Avoid,RedCentipede-Avoid,Centiwing-Avoid,LanternMouse-Avoid,Spider-Avoid,BigSpider-Avoid,SpitterSpider-Avoid,MirosBird-Stay,EggBug-Avoid,DropBug-Avoid,SmallNeedleWorm-Avoid,BigNeedleWorm-Avoid,MirosVulture-Forbidden,SpitLizard-Avoid,Eel-Avoid,ZoopLizard-Avoid,MotherSpider-Avoid,ScavengerElite-Avoid,Hoverfly-Forbidden,
Room_Attr: XM_Y08: MirosVulture-Forbidden,Hoverfly-Forbidden,
