GATE_BL_GW: 2411.65><112.939><1944.72><126.128><1><
BL_E02_PAST: 1788><130.5><0><-70><1><
BL_E03_PAST: -285><-19.5><0><-74><2><
BL_TM02: -1911><93><0><-74><0><
BL_TM03: -2049><-27><0><-74><0><
BL_TM01: -2355><9><0><-134><0><
BL_TM04: -2634><-93><0><-74><0><
GATE_BL_TM: -2805><-93><0><-70><0><
OffScreenDen_bl: 1242.65><70.4391><-750.278><-185.871><1><
Connection: GATE_BL_GW,BL_A13,2,11,46,11,2,0
Connection: GATE_LF_BL,BL_A14,45,11,2,11,0,2
Connection: BL_A13,BL_E02,3,16,251,10,2,0
Connection: BL_A03,BL_A02,23,32,40,3,1,3
Connection: BL_A03,BL_C01,1,13,145,7,2,0
Connection: BL_A03,BL_E02,46,13,5,9,0,2
Connection: BL_A02,BL_A08,9,16,22,32,3,1
Connection: BL_A08,BL_B09,22,3,73,32,3,1
Connection: BL_B09,BL_A07,7,10,42,33,2,1
Connection: BL_B09,BL_A01,89,6,32,33,0,1
Connection: BL_A01,BL_A07,5,12,42,14,2,3
Connection: BL_A07,BL_S01,5,33,14,19,1,2
Connection: BL_A07,BL_B02,9,3,23,74,3,1
Connection: BL_B02,BL_B08,11,37,96,30,2,0
Connection: BL_C01,BL_A11,6,11,42,10,2,0
Connection: BL_A11,BL_A15,6,31,6,5,1,3
Connection: BL_A11,BL_C04,19,4,145,32,0,1
Connection: BL_S02,BL_A14,22,18,4,31,1,2
Connection: BL_A14,BL_C02,45,11,3,96,0,2
Connection: BL_C02,BL_E04,41,10,10,9,3,3
Connection: BL_E04,BL_B04,250,17,4,56,0,2
Connection: BL_E04,BL_A06,197,5,9,32,3,1
Connection: BL_A06,BL_A12,44,9,2,9,0,2
Connection: BL_A12,BL_A04,9,32,98,16,1,3
Connection: BL_A12,BL_B04,45,14,5,12,0,2
Connection: BL_B04,BL_A10,51,56,1,16,0,2
Connection: BL_B04,BL_A16,50,18,4,19,0,2
Connection: BL_A10,BL_C03,45,16,4,98,0,2
Connection: BL_C03,BL_A16,5,57,43,19,2,0
Connection: BL_C03,BL_E03,46,53,3,13,0,2
Connection: BL_C03,BL_B05,5,19,43,57,2,0
Connection: BL_B05,BL_B06,43,7,4,30,0,2
Connection: BL_A04,BL_TM02,37,14,168,20,3,3
Connection: BL_A04,BL_D04,132,22,31,19,3,3
Connection: BL_B06,BL_C06,95,30,5,82,0,2
Connection: BL_B06,BL_S03,42,26,32,18,3,1
Connection: BL_C04,BL_E03,4,17,252,17,2,0
Connection: BL_F02,BL_A05,70,69,19,4,1,0
Connection: BL_F02,BL_D02,3,53,91,44,2,0
Connection: BL_F02,BL_C05,145,9,3,49,0,2
Connection: BL_F02,BL_C09,9,7,4,108,3,1
Connection: BL_A05,BL_D05,28,4,28,134,2,0
Connection: BL_A09,BL_D02,9,32,79,14,1,0
Connection: BL_C05,BL_B07,20,108,10,11,1,3
Connection: BL_C05,BL_B03,6,2,5,74,3,1
Connection: BL_B03,BL_F03,2,52,146,49,2,0
Connection: BL_B03,BL_C07,23,5,36,109,3,1
Connection: BL_A15,BL_B07,2,27,57,3,2,3
Connection: BL_B07,BL_S04,25,27,24,24,3,1
Connection: BL_D02,BL_D04,10,29,219,27,3,3
Connection: BL_C06,BL_C08,8,109,24,37,1,3
Connection: BL_C06,BL_C09,51,102,6,6,0,2
Connection: BL_C06,BL_D03,52,22,5,21,0,2
Connection: BL_D04,BL_C08,213,15,24,74,3,1
Connection: BL_B08,BL_C07,4,30,42,103,2,1
Connection: BL_C07,BL_D03,3,107,198,30,2,0
Connection: BL_D05,BL_F03,43,10,106,49,0,2
Connection: BL_F03,BL_FG1,4,49,95,9,2,0
Connection: BL_FG1,BL_FG2,3,24,45,12,2,0
Connection: BL_TM02,BL_TM03,88,20,37,32,3,1
Connection: BL_TM02,BL_TM01,30,10,117,53,3,3
Connection: BL_TM03,BL_TM01,11,14,115,23,2,0
Connection: BL_TM01,BL_TM04,23,17,37,25,2,0
Connection: BL_TM04,GATE_BL_TM,8,14,45,13,2,0
